state,year,income
Missouri,2015,74370
Montana,2015,64570
Nebraska,2015,75970
Nevada,2015,65340
New Hampshire,2015,95070
New Jersey,2015,85880
New Mexico,2015,56680
New York,2015,72870
North Carolina,2015,63820
North Dakota,2015,72130
Ohio,2015,66960
Oklahoma,2015,59140
Oregon,2015,76420
Pennsylvania,2015,75870
Rhode Island,2015,69980
South Carolina,2015,58240
South Dakota,2015,69180
Tennessee,2015,59460
Texas,2015,70950
Utah,2015,83240
Vermont,2015,74740
Virginia,2015,77240
Washington,2015,84480
West Virginia,2015,53800
Wisconsin,2015,69630
Wyoming,2015,76540
Alabama,2016,58800
Alaska,2016,94290
Arizona,2016,71100
Arkansas,2016,57170
California,2016,82980
Colorado,2016,87870
Connecticut,2016,94540
Delaware,2016,72280
District of Columbia,2016,88390
Florida,2016,63730
Georgia,2016,66650
Hawaii,2016,89820
Idaho,2016,70440
Illinois,2016,76440
Indiana,2016,69850
Iowa,2016,73590
Kansas,2016,70740
Kentucky,2016,56500
Louisiana,2016,52540
Maine,2016,63330
Maryland,2016,91850
Massachusetts,2016,89990
Michigan,2016,71090
Minnesota,2016,87440
Mississippi,2016,51180
Missouri,2016,68510
Montana,2016,71070
Nebraska,2016,73930
Nevada,2016,69020
New Hampshire,2016,94960
New Jersey,2016,85260
New Mexico,2016,60330
New York,2016,76500
North Carolina,2016,66950
North Dakota,2016,74940
Ohio,2016,67220
Oklahoma,2016,63440
Oregon,2016,73640
Pennsylvania,2016,75930
Rhode Island,2016,76620
South Carolina,2016,67660
South Dakota,2016,71540
Tennessee,2016,63940
Texas,2016,72410
Utah,2016,84030
Vermont,2016,75760
Virginia,2016,82750
Washington,2016,87550
West Virginia,2016,55230
Wisconsin,2016,74490
Wyoming,2016,72010
Alabama,2017,62250
Alaska,2017,95440
Arizona,2017,73060
Arkansas,2017,60880
California,2017,85710
Colorado,2017,91760
Connecticut,2017,90930
Delaware,2017,79500
District of Columbia,2017,99470
Florida,2017,64960
Georgia,2017,70960
Hawaii,2017,90070
Idaho,2017,72810
Illinois,2017,80730
Indiana,2017,71920
Iowa,2017,77670
Kansas,2017,69630
Kentucky,2017,60790
Louisiana,2017,53310
Maine,2017,65240
Maryland,2017,100500
Massachusetts,2017,93300
Michigan,2017,69030
Minnesota,2017,85630
Mississippi,2017,52960
Missouri,2017,69180
Montana,2017,70250
Nebraska,2017,72910
Nevada,2017,71030
New Hampshire,2017,92550
New Jersey,2017,87180
New Mexico,2017,55800
New York,2017,75310
North Carolina,2017,60630
North Dakota,2017,73630
Ohio,2017,74270
Oklahoma,2017,63490
Oregon,2017,76480
Pennsylvania,2017,75000
Rhode Island,2017,80030
South Carolina,2017,66740
South Dakota,2017,69650
Tennessee,2017,67680
Texas,2017,73540
Utah,2017,85400
Vermont,2017,77930
Virginia,2017,86650
Washington,2017,87550
West Virginia,2017,57460
Wisconsin,2017,77690
Wyoming,2017,72860
Alabama,2018,59900
Alaska,2018,82450
Arizona,2018,74710
Arkansas,2018,59720
California,2018,84560
Colorado,2018,87610
Connecticut,2018,87340
Delaware,2018,77990
District of Columbia,2018,102900
Florida,2018,65550
Georgia,2018,66960
Hawaii,2018,96100
Idaho,2018,70450
Illinois,2018,84140
Indiana,2018,71850
Iowa,2018,82430
Kansas,2018,76700
Kentucky,2018,65440
Louisiana,2018,59950
Maine,2018,70370
Maryland,2018,103400
Massachusetts,2018,103600
Michigan,2018,72510
Minnesota,2018,86150
Mississippi,2018,51320
Missouri,2018,74050
Montana,2018,69190
Nebraska,2018,81060
Nevada,2018,74210
New Hampshire,2018,97580
New Jersey,2018,88980
New Mexico,2018,57920
New York,2018,80700
North Carolina,2018,64020
North Dakota,2018,79780
Ohio,2018,73930
Oklahoma,2018,65300
Oregon,2018,82970
Pennsylvania,2018,77400
Rhode Island,2018,74690
South Carolina,2018,68910
South Dakota,2018,71330
Tennessee,2018,67250
Texas,2018,71720
Utah,2018,92450
Vermont,2018,84050
Virginia,2018,92550
Washington,2018,95640
West Virginia,2018,60670
Wisconsin,2018,75130
Wyoming,2018,75020
Alabama,2019,66430
Alaska,2019,92670
Arizona,2019,83540
Arkansas,2019,64470
California,2019,92330
Colorado,2019,85700
Connecticut,2019,103200
Delaware,2019,87700
District of Columbia,2019,110100
Florida,2019,69000
Georgia,2019,66940
Hawaii,2019,104000
Idaho,2019,78000
Illinois,2019,87950
Indiana,2019,78840
Iowa,2019,78080
Kansas,2019,86470
Kentucky,2019,65800
Louisiana,2019,61120
Maine,2019,78660
Maryland,2019,113000
Massachusetts,2019,103700
Michigan,2019,75790
Minnesota,2019,96250
Mississippi,2019,52940
Missouri,2019,71630
Montana,2019,71150
Nebraska,2019,86370
Nevada,2019,83820
New Hampshire,2019,102700
New Jersey,2019,103700
New Mexico,2019,62780
New York,2019,84940
North Carolina,2019,72290
North Dakota,2019,82780
Ohio,2019,76440
Oklahoma,2019,70210
Oregon,2019,87960
Pennsylvania,2019,83430
Rhode Island,2019,82920
South Carolina,2019,73320
South Dakota,2019,75950
Tennessee,2019,66940
Texas,2019,79720
Utah,2019,99910
Vermont,2019,87830
Virginia,2019,96120
Washington,2019,97470
West Virginia,2019,63480
Wisconsin,2019,79620
Wyoming,2019,76990
Alabama,2020,63980
Alaska,2020,87440
Arizona,2020,78480
Arkansas,2020,59400
California,2020,90840
Colorado,2020,98010
Connecticut,2020,92930
Delaware,2020,81920
District of Columbia,2020,103200
Florida,2020,67570
Georgia,2020,69330
Hawaii,2020,94560
Idaho,2020,78060
Illinois,2020,86960
Indiana,2020,78150
Iowa,2020,80510
Kansas,2020,85500
Kentucky,2020,66400
Louisiana,2020,59880
Maine,2020,74510
Maryland,2020,110900
Massachusetts,2020,102700
Michigan,2020,75330
Minnesota,2020,92130
Mississippi,2020,52800
Missouri,2020,72740
Montana,2020,66380
Nebraska,2020,84520
Nevada,2020,71550
New Hampshire,2020,104000
New Jersey,2020,100100
New Mexico,2020,59550
New York,2020,80320
North Carolina,2020,70700
North Dakota,2020,75010
Ohio,2020,70640
Oklahoma,2020,61380
Oregon,2020,89910
Pennsylvania,2020,82810
Rhode Island,2020,93790
South Carolina,2020,70590
South Dakota,2020,82110
Tennessee,2020,64310
Texas,2020,80020
Utah,2020,98260
Vermont,2020,78680
Virginia,2020,96180
Washington,2020,95180
West Virginia,2020,60800
Wisconsin,2020,78860
Wyoming,2020,76570
